Parametro,Descripción Parámetro,TAG,Unidad
"BEN","Benceno","BEN","µg/m³"
"CO","Concentracion de CO","CO","mg/m³"
"DD","Direccion del viento","DD","Grados"
"HR","Humedad relativa","HR","%hr"
"LL","Precipitacion","LL","l/m²"
"MXIL","MXileno","MXIL","µg/m³"
"NO","Concentracion de NO","NO","µg/m³"
"NO2","Concentracion de NO2","NO2","µg/m³"
"O3","Concentracion de Ozono","O3","µg/m³"
"PM10","Particulas en suspension <10 µg/m³","PM10","µg/m³"
"PM25","Particulas en Suspension PM 2,5","PM25","µg/m³"
"PRB","Presion Atmosferica","PRB","mb"
"RS","Radiacion Solar","RS","W/m²"
"SO2","Concentracion de SO2","SO2","µg/m³"
"TMP","Temperatura Seca","TMP","ºC"
"TOL","Tolueno","TOL","µg/m³"
"VV","Velocidad del viento","VV","m/s"
