Categoría: Todas las categorías

Mes,Contaminación: (Principado de Asturias)
2004-01,0
2004-02,41
2004-03,100
2004-04,24
2004-05,18
2004-06,19
2004-07,21
2004-08,0
2004-09,34
2004-10,16
2004-11,16
2004-12,14
2005-01,0
2005-02,0
2005-03,16
2005-04,19
2005-05,19
2005-06,17
2005-07,0
2005-08,20
2005-09,15
2005-10,0
2005-11,20
2005-12,13
2006-01,12
2006-02,24
2006-03,0
2006-04,11
2006-05,10
2006-06,10
2006-07,11
2006-08,10
2006-09,9
2006-10,12
2006-11,7
2006-12,15
2007-01,0
2007-02,24
2007-03,14
2007-04,0
2007-05,13
2007-06,7
2007-07,7
2007-08,0
2007-09,0
2007-10,6
2007-11,5
2007-12,12
2008-01,11
2008-02,19
2008-03,5
2008-04,5
2008-05,7
2008-06,6
2008-07,10
2008-08,10
2008-09,7
2008-10,0
2008-11,19
2008-12,6
2009-01,6
2009-02,19
2009-03,11
2009-04,6
2009-05,11
2009-06,0
2009-07,6
2009-08,13
2009-09,0
2009-10,10
2009-11,5
2009-12,5
2010-01,5
2010-02,5
2010-03,5
2010-04,5
2010-05,9
2010-06,10
2010-07,0
2010-08,6
2010-09,5
2010-10,7
2010-11,8
2010-12,4
2011-01,4
2011-02,8
2011-03,6
2011-04,4
2011-05,5
2011-06,2
2011-07,2
2011-08,3
2011-09,3
2011-10,4
2011-11,6
2011-12,5
2012-01,4
2012-02,3
2012-03,3
2012-04,4
2012-05,5
2012-06,5
2012-07,2
2012-08,2
2012-09,3
2012-10,4
2012-11,5
2012-12,4
2013-01,4
2013-02,4
2013-03,7
2013-04,4
2013-05,4
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,4
2013-11,3
2013-12,5
2014-01,3
2014-02,3
2014-03,3
2014-04,4
2014-05,4
2014-06,5
2014-07,4
2014-08,2
2014-09,2
2014-10,4
2014-11,4
2014-12,3
2015-01,4
2015-02,8
2015-03,6
2015-04,6
2015-05,5
2015-06,4
2015-07,3
2015-08,2
2015-09,4
2015-10,6
2015-11,8
2015-12,9
2016-01,6
2016-02,6
2016-03,2
2016-04,4
2016-05,6
2016-06,3
2016-07,4
2016-08,4
2016-09,4
2016-10,3
2016-11,7
2016-12,7
2017-01,11
2017-02,6
2017-03,7
2017-04,5
2017-05,5
2017-06,6
2017-07,4
2017-08,3
2017-09,4
2017-10,10
2017-11,8
2017-12,4
2018-01,5
2018-02,4
2018-03,6
2018-04,5
2018-05,5
2018-06,8
2018-07,5
2018-08,4
2018-09,5
2018-10,5
2018-11,7
2018-12,8
