holiday_date,holiday_type
2014-01-01,national
2014-01-06,national
2014-03-04,local
2014-04-17,regional
2014-04-18,national
2014-05-01,national
2014-06-30,local
2014-08-15,national
2014-09-08,regional
2014-10-13,national
2014-11-01,national
2014-12-06,national
2014-12-08,national
2014-12-25,national
2015-01-01,national
2015-01-06,national
2015-02-17,local
2015-04-02,regional
2015-04-03,national
2015-05-01,national
2015-06-29,local
2015-08-15,national
2015-09-08,regional
2015-10-12,national
2015-11-02,national
2015-12-07,national
2015-12-08,national
2015-12-25,national
2016-01-01,national
2016-01-06,national
2016-02-09,local
2016-03-24,regional
2016-03-25,national
2016-05-02,national
2016-06-29,local
2016-08-15,national
2016-09-08,regional
2016-10-12,national
2016-11-01,national
2016-12-06,national
2016-12-08,national
2016-12-26,national
2017-01-02,national
2017-01-06,national
2017-02-28,local
2017-04-13,regional
2017-04-14,national
2017-05-01,national
2017-06-29,local
2017-08-15,national
2017-09-08,regional
2017-10-12,national
2017-11-01,national
2017-12-06,national
2017-12-08,national
2017-12-25,national
